id;status;charge;email;phone_number
1;NOTTRAINED;payment back-end Account;Elisa25@gmail.com;Calleja Granito leading-edge
2;NOTTRAINED;Aragón Violeta;Agustn.Correa@gmail.com;Sorprendente
3;NOTTRAINED;payment backing Berkshire;Hernn.Rojas@yahoo.com;Global
4;NOTTRAINED;Producto;Francisco_Meja56@gmail.com;Berkshire
5;TRAINED;Videojuegos open-source;Julia.Ornelas@gmail.com;herramientas calculate
6;TRAINED;Account;Josefina17@gmail.com;rich payment Violeta
7;TRAINED;Deportes;Anita.Vergara@yahoo.com;Pollo
8;NOTTRAINED;Bacon Oficial;Gustavo_Hidalgo0@gmail.com;Azul inversa Mesa
9;NOTTRAINED;Home;Patricia16@gmail.com;Proactivo Silla
10;TRAINED;Loan;Lorenzo_Valdez@gmail.com;sensor
